"gid","osm_id","class_id","source","target","length","reverse","maxspeed_forward","maxspeed_backward","priority","geom"
"15559","893212422","104","7988056392","6313583478","223.46111171603025","-1",,,"1.1","LINESTRING(126.5701576 45.7207537, 126.5703315 45.7208706, 126.5716122 45.7217195)"
"15560","893212422","104","6313583478","6313583469","614.3605504068182","-1",,,"1.1","LINESTRING(126.5716122 45.7217195, 126.5741117 45.7233169, 126.5756645 45.724335)"
"15561","893212422","104","6313583469","3520802744","390.8034396487303","-1",,,"1.1","LINESTRING(126.5756645 45.724335, 126.5763108 45.7247526, 126.5769709 45.7252552, 126.5777333 45.7259572, 126.5779637 45.726178)"
"15562","893212423","108","7988056392","7988056393","55.73572493910604","-1",,,"1.4","LINESTRING(126.5701576 45.7207537, 126.5698377 45.7210226)"
"15563","893212423","108","7988056393","7988056394","732.5208343115016","-1",,,"1.4","LINESTRING(126.5698377 45.7210226, 126.5654046 45.7244176)"
"15564","893212423","108","7988056394","2191032971","28.382614460167435","-1",,,"1.4","LINESTRING(126.5654046 45.7244176, 126.5652334 45.7245495)"
"15565","893212425","108","2191032354","7988056400","28.41161320478151","-1",,,"1.4","LINESTRING(126.5649624 45.724372, 126.5651476 45.7242494)"
"15566","893212425","108","7988056400","7988056399","731.4262923894328","-1",,,"1.4","LINESTRING(126.5651476 45.7242494, 126.5695639 45.720853)"
"15567","893212425","108","7988056399","7988056398","57.622250105433565","-1",,,"1.4","LINESTRING(126.5695639 45.720853, 126.5699078 45.7205829)"
"15568","893212426","108","10612339046","6312787165","228.43259778850495","-1",,,"1.4","LINESTRING(126.5798124 45.7131812, 126.5794361 45.7134808, 126.5784421 45.7142477)"
"15569","893212426","108","6312787165","7988056391","32.52469851597727","-1",,,"1.4","LINESTRING(126.5784421 45.7142477, 126.5782513 45.7144022)"
"15570","893212426","108","7988056391","9399469325","335.3587198756162","-1",,,"1.4","LINESTRING(126.5782513 45.7144022, 126.5762843 45.7159954)"
"15571","893212426","108","9399469325","9399469321","17.25786644371523","-1",,,"1.4","LINESTRING(126.5762843 45.7159954, 126.5761911 45.7160819)"
"15572","893212426","108","9399469321","8301725133","34.6067336982883","-1",,,"1.4","LINESTRING(126.5761911 45.7160819, 126.5759804 45.7162415)"
"15573","893212427","108","8301725133","8301725134","193.70373387428313","-1",,,"1.4","LINESTRING(126.5759804 45.7162415, 126.5748373 45.7171575)"
"15574","893212428","108","7988056398","7988056397","495.06274858022897","-1",,,"1.4","LINESTRING(126.5699078 45.7205829, 126.5729054 45.7182893)"
"15575","893212428","108","7988056397","7988056396","28.86282391343111","-1",,,"1.4","LINESTRING(126.5729054 45.7182893, 126.5730802 45.7181556)"
"15576","893212428","108","7988056396","8301725135","246.35816563507748","-1",,,"1.4","LINESTRING(126.5730802 45.7181556, 126.5745719 45.7170142)"
"15577","893212429","108","8301725135","8301725136","195.915317147642","-1",,,"1.4","LINESTRING(126.5745719 45.7170142, 126.5757329 45.7160907)"
